Accession,FBgn
Q9VK96,FBgn0032424
M9PE19,FBgn0035348
Q9VN21,FBgn0263594
Q9VAW7,FBgn0039576
Q9V3G1,FBgn0261602
Q9VUH8,FBgn0036450
Q8MLZ7,FBgn0020414
Q86BA5,FBgn0053105
Q95RA9,FBgn0038149
P06606,FBgn0087040
Q24400,FBgn0014863
O97066,FBgn0262801
A0A0B4KGN2,FBgn0019960
Q9VSL8,FBgn0260442
Q8IQG0,FBgn0052086
O77410,FBgn0025582
Q9V3J1,FBgn0027779
Q9VDM3,FBgn0038797
Q9V9W2,FBgn0039857
Q9VR44,FBgn0031645
P02518,FBgn0001226
A0A0B4KFS3,FBgn0037942
Q7YTY6,FBgn0028988
Q9V3J4,FBgn0024509
Q9VLT7,FBgn0031980
Q9V8R9,FBgn0010434
Q8INW1,FBgn0051697
A0A0B4KGP0,FBgn0020299
Q9VYQ5,FBgn0030369
Q6IHY5,FBgn0085201
Q8SX24,FBgn0037435
Q9VQ29,FBgn0021906
C0HK95,FBgn0266451
Q9NJH0,FBgn0029176
Q9VWH4,FBgn0027291
Q9W4U2,FBgn0029648
B7YZV3,FBgn0264815
P08736,FBgn0284245
A0A0B4LFD9,FBgn0033912
Q9VK69,FBgn0032444
Q9VAY2,FBgn0039562
A1Z7Z6,FBgn0040093
E1JJ74,FBgn0037464
Q9VBX2,FBgn0039280
D1Z3A2,FBgn0016119
Q8I0F1,FBgn0051538
Q7JQU6,FBgn0050376
P29310,FBgn0004907
Q9VZK1,FBgn0035482
Q9W1H8,FBgn0025352
Q9VI39,FBgn0037461
Q9VPH9,FBgn0036970
A8JUM9,FBgn0030889
Q9W286,FBgn0034700
B7Z0R7,FBgn0039705
O97479,FBgn0024289
P08646,FBgn0003205
P84051,FBgn0001196
P84051,FBgn0051618
P84051,FBgn0053808
P84051,FBgn0053814
P84051,FBgn0053817
P84051,FBgn0053820
P84051,FBgn0053823
P84051,FBgn0053826
P84051,FBgn0053829
P84051,FBgn0053832
P84051,FBgn0053835
P84051,FBgn0053838
P84051,FBgn0053841
P84051,FBgn0053844
P84051,FBgn0053847
P84051,FBgn0053850
P84051,FBgn0053862
P84051,FBgn0053865
Q9V426,FBgn0024183
Q9W0V5,FBgn0035097
Q8IQQ3,FBgn0261565
Q9VG86,FBgn0038033
O02649,FBgn0015245
O18332,FBgn0285937
Q8IMY4,FBgn0051413
Q9VKS9,FBgn0043825
Q9V3S0,FBgn0010019
Q9W227,FBgn0034753
Q8MT58,FBgn0287767
X2J5G6,FBgn0005593
Q8IMS7,FBgn0261287
Q9W0X0,FBgn0010435
Q9VVC9,FBgn0036686
Q9VBM3,FBgn0039371
Q53YH3,FBgn0005585
P29327,FBgn0261592
Q9V3H9,FBgn0028471
Q95SI7,FBgn0038924
Q9VI35,FBgn0051482
Q9V438,FBgn0025678
Q7JYM7,FBgn0033794
Q9VVK6,FBgn0261998
Q9VJE7,FBgn0032632
O96860,FBgn0026141
Q7KW39,FBgn0023537
Q9VRM8,FBgn0035619
Q9VQ22,FBgn0031347
Q8T485,FBgn0038357
Q9V9M7,FBgn0032987
Q7K2S9,FBgn0259795
Q9VJ18,FBgn0028569
A0A0B4KEF1,FBgn0028561
Q9VS57,FBgn0035771
A1Z8X1,FBgn0054021
O77460,FBgn0016687
P41374,FBgn0261609
Q9VZU4,FBgn0266582
E1JIQ7,FBgn0064119
A0A0B4KFR7,FBgn0027356
Q6XK19,FBgn0266756
Q9VTW1,FBgn0036272
Q9VN30,FBgn0037254
Q9VWB4,FBgn0036969
B4ZJA7,FBgn0259975
Q86BL9,FBgn0052985
E2QCS7,FBgn0265264
Q9VI08,FBgn0037432
Q9V7N5,FBgn0262511
M9PE30,FBgn0035499
Q0E9N2,FBgn0010482
Q9VMN5,FBgn0031728
Q9VBF9,FBgn0039421
Q9V496,FBgn0087002
Q3HKQ0,FBgn0083938
Q9VGE9,FBgn0260745
A1Z998,FBgn0050058
A1Z9C4,FBgn0033834
Q7KMP8,FBgn0028691
X2JEB6,FBgn0026415
Q8T3R9,FBgn0038892
Q9VBU9,FBgn0039300
Q86BM5,FBgn0027932
Q9VDT4,FBgn0038739
P23380,FBgn0262736
E1JJF3,FBgn0027108
Q9VZ72,FBgn0035585
P15007,FBgn0000579
A0A0B4K6N1,FBgn0039713
Q9VRG5,FBgn0031171
Q9VLZ8,FBgn0083141
Q05547,FBgn0003132
Q9VG32,FBgn0002719
A0A0B4KHF0,FBgn0015221
Q9W2M4,FBgn0034583
M9MRC9,FBgn0285948
Q9VX85,FBgn0030814
Q9VHR9,FBgn0037579
Q6IDF5,FBgn0033961
Q8INL4,FBgn0051467
P29845,FBgn0001220
P48159,FBgn0010078
Q7K2N3,FBgn0038799
Q8INR5,FBgn0051473
A1Z9Z7,FBgn0034007
Q0E980,FBgn0033919
Q9VEL5,FBgn0051418
Q9VGT3,FBgn0040259
Q7KJ73,FBgn0029506
E2QD16,FBgn0262527
Q9Y112,FBgn0027552
Q9VSM4,FBgn0017429
A1ZBU8,FBgn0034512
P15215,FBgn0267348
Q9W5R8,FBgn0064225
P21187,FBgn0265297
Q9VIY3,FBgn0032768
Q9Y170,FBgn0041102
