Accession,FBgn
Q9V3K9,FBgn0261862
Q9V3L7,FBgn0027785
Q9V3P3,FBgn0029133
Q9V3P6,FBgn0028692
Q9V3Q4,FBgn0040308
Q9V3U6,FBgn0250848
Q9V3V6,FBgn0028684
Q9V3W0,FBgn0086691
Q9V3W2,FBgn0001989
Q9V3W7,FBgn0283477
Q9V3W9,FBgn0026777
Q9V3Y4,FBgn0027786
Q9V3Z4,FBgn0028690
Q9V405,FBgn0028686
Q9V420,FBgn0004465
Q9V426,FBgn0024183
Q9V436,FBgn0028693
Q9V438,FBgn0025678
Q9V455,FBgn0027338
Q9V470,FBgn0029118
Q9V491,FBgn0025741
Q9V496,FBgn0087002
Q9V4E0,FBgn0039909
Q9V521,FBgn0033367
Q9V597,FBgn0285949
Q9V5C6,FBgn0023175
Q9V6K1,FBgn0020370
Q9V6Y3,FBgn0033907
Q9V784,FBgn0033989
Q9V7D2,FBgn0022097
Q9V7N5,FBgn0287825
Q9V7Y2,FBgn0010591
Q9V813,FBgn0034215
Q9V8R9,FBgn0010434
Q9V9M7,FBgn0032987
Q9V9S8,FBgn0266268
Q9V9T5,FBgn0039877
Q9V9U9,FBgn0039868
Q9V9W3,FBgn0039857
Q9V9Z1,FBgn0039835
Q9V9Z9,FBgn0039828
Q9VA18,FBgn0010808
Q9VA73,FBgn0028646
Q9VA81,FBgn0039765
Q9VA91,FBgn0039757
Q9VAB9,FBgn0039739
Q9VAC1,FBgn0039737
Q9VAC4,FBgn0039735
Q9VAJ9,FBgn0039674
Q9VAL7,FBgn0015622
Q9VAM6,FBgn0062442
Q9VAN0,FBgn0014427
Q9VAN7,FBgn0014869
Q9VAT7,FBgn0039598
Q9VAT8,FBgn0039597
Q9VAW5,FBgn0261618
Q9VAX7,FBgn0003890
Q9VAX8,FBgn0039566
Q9VAY2,FBgn0039562
Q9VAY6,FBgn0039558
Q9VAY9,FBgn0039555
Q9VAZ1,FBgn0267366
Q9VB04,FBgn0045862
Q9VB10,FBgn0039537
Q9VB14,FBgn0027494
Q9VB43,FBgn0039511
Q9VB46,FBgn0015737
Q9VB64,FBgn0261995
Q9VB69,FBgn0029155
Q9VB96,FBgn0051075
Q9VBH8,FBgn0039406
Q9VBI3,FBgn0039402
Q9VBN5,FBgn0039359
Q9VBP6,FBgn0039349
Q9VBU9,FBgn0039300
Q9VBX1,FBgn0259152
Q9VBX3,FBgn0046214
Q9VC18,FBgn0039241
Q9VC28,FBgn0039233
Q9VC48,FBgn0039219
Q9VC57,FBgn0039213
Q9VCA5,FBgn0039175
