Accession,FBgn
Q9VXH4,FBgn0030743
P91926,FBgn0264855
P41374,FBgn0261609
Q7K172,FBgn0034176
Q7JS69,FBgn0032946
Q9VR53,FBgn0266848
Q9W1H8,FBgn0025352
Q6NP69,FBgn0250732
P25439,FBgn0000212
Q7KLW5,FBgn0010516
Q9V3U6,FBgn0250848
Q9VIG0,FBgn0032916
Q9VLS1,FBgn0031995
Q9W2N0,FBgn0034577
Q86BI3,FBgn0263603
Q27571,FBgn0011676
O61492,FBgn0264078
Q7K3M5,FBgn0033160
Q9V3P0,FBgn0040309
Q95ST2,FBgn0036141
Q9VYI1,FBgn0030435
Q9VD26,FBgn0038950
Q9VJ63,FBgn0032700
Q6NP60,FBgn0037153
Q86P36,FBgn0262867
Q9VHN5,FBgn0037609
A1Z713,FBgn0033194
P91928,FBgn0019960
Q9VKY2,FBgn0027568
P36975,FBgn0011288
O76863,FBgn0024996
B7YZQ9,FBgn0035092
Q9VJ28,FBgn0032729
E1JI59,FBgn0026179
A1Z6P8,FBgn0085421
Q9VAP3,FBgn0039637
O18405,FBgn0019925
Q9VK44,FBgn0032467
Q9W0P8,FBgn0035145
Q9VCR3,FBgn0039054
Q9VVH9,FBgn0036732
Q95TW4,FBgn0038826
P13706,FBgn0001128
Q9Y1I2,FBgn0000257
Q9VHB1,FBgn0037715
Q9VLM5,FBgn0263852
Q9VJM4,FBgn0028644
P12613,FBgn0003676
Q7KUE9,FBgn0263776
P23696,FBgn0004177
P12881,FBgn0250843
Q9VMI3,FBgn0031771
Q9W410,FBgn0029861
P29993,FBgn0010051
Q94517,FBgn0015805
Q8MV48,FBgn0030930
Q059A4,FBgn0033808
Q7K569,FBgn0022160
Q9W0Y6,FBgn0060296
Q8MLV1,FBgn0034657
A8JNT1,FBgn0040805
Q9W3N9,FBgn0029969
P00334,FBgn0000055
O61305,FBgn0024804
Q7JYN2,FBgn0030853
Q86B61,FBgn0010329
Q9VAV8,FBgn0039584
Q24560,FBgn0284243
Q9VN21,FBgn0263594
Q9VXK7,FBgn0030718
O76902,FBgn0025381
Q9W445,FBgn0029833
Q94524,FBgn0024432
Q9VR59,FBgn0027279
B7Z001,FBgn0283427
P25171,FBgn0002638
Q9VAD4,FBgn0039726
Q9V3N7,FBgn0023023
Q9XZ06,FBgn0027537
Q9VP50,FBgn0037071
Q7K137,FBgn0028717
Q9VZE7,FBgn0035523
Q9VAM6,FBgn0062442
Q9W3D3,FBgn0025864
Q24253,FBgn0010380
P32866,FBgn0261988
Q0KIB3,FBgn0037376
Q9VU39,FBgn0036337
Q7JUS9,FBgn0034497
Q9VKR0,FBgn0032292
Q86NX6,FBgn0034688
Q9VV42,FBgn0011693
Q9VY05,FBgn0030593
Q9VBJ2,FBgn0015269
Q7KLW8,FBgn0024509
P28668,FBgn0005674
Q9NB71,FBgn0030600
A8DY93,FBgn0261698
Q8SY53,FBgn0032015
Q9V4C4,FBgn0039900
A1Z7S0,FBgn0015477
P32870,FBgn0003301
P50882,FBgn0015756
Q9W3C3,FBgn0030060
P27398,FBgn0003464
E2QCY4,FBgn0016081
A8JNM5,FBgn0261788
Q9VZL1,FBgn0035473
O76464,FBgn0024945
Q9VNY2,FBgn0037130
Q9VAR6,FBgn0039617
Q7JRQ1,FBgn0053140
A1Z920,FBgn0011592
Q9W0M7,FBgn0035162
Q9VM47,FBgn0031885
Q24036,FBgn0014163
Q8SXU3,FBgn0034035
P12370,FBgn0000273
Q9VK85,FBgn0020443
Q9VIB5,FBgn0015575
Q9VQP9,FBgn0031529
Q9U916,FBgn0005585
Q86B54,FBgn0053177
Q9VPB6,FBgn0037022
Q9VB69,FBgn0029155
P08736,FBgn0284245
Q02645,FBgn0263391
Q9VUV9,FBgn0263599
Q7JVY0,FBgn0265935
O96539,FBgn0025720
Q9VAW3,FBgn0039580
Q9VK06,FBgn0051729
Q95U32,FBgn0051344
A1Z8N1,FBgn0050035
